listing_id,last_review_date,number_of_reviews,reviews_per_month
2539,2018-10-19,9,0.21
2595,2019-05-21,45,0.38
3831,2019-07-05,270,4.64
5022,2018-11-19,9,0.1
5099,2019-06-22,74,0.59
5121,2017-10-05,49,0.4
5178,2019-06-24,430,3.47
5203,2017-07-21,118,0.99
5238,2019-06-09,160,1.33
5295,2019-06-22,53,0.43
5441,2019-06-23,188,1.5
5803,2019-06-24,167,1.34
6021,2019-07-05,113,0.91
6090,2018-10-31,27,0.22
6848,2019-06-29,148,1.2
7097,2019-06-28,198,1.72
7322,2019-07-01,260,2.12
7726,2019-06-22,53,4.44
7801,2011-12-28,9,0.07
8024,2019-07-01,130,1.09
8025,2019-01-01,39,0.37
8110,2019-07-02,71,0.61
8490,2019-06-19,88,0.73
8505,2019-06-23,19,1.37
9357,2017-08-13,58,0.49
9518,2019-06-15,108,1.11
9657,2019-04-19,29,0.24
9668,2019-06-01,242,2.04
9704,2019-06-14,88,1.42
9782,2019-06-15,197,1.65
9783,2019-07-01,273,2.37
10452,2019-05-12,74,0.66
10962,2019-06-21,168,1.41
11708,2019-06-22,231,1.96
12048,2019-07-05,214,1.81
12192,2019-06-21,245,2.08
12299,2019-05-27,15,0.39
12303,2018-09-30,25,0.23
12318,2019-06-16,81,0.69
12343,2019-06-13,97,0.84
12627,2019-06-05,11,0.49
12937,2019-07-01,248,2.25
12940,2019-05-25,61,0.52
13050,2017-01-01,11,0.1
13394,2019-06-17,135,1.16
13808,2019-06-16,112,1.01
14287,2019-07-07,73,0.63
14290,2019-05-17,82,0.7
14314,2019-06-29,328,2.82
14322,2019-03-25,19,0.22
14377,2019-06-22,105,0.9
14991,2019-05-18,19,0.17
15220,2019-06-09,289,2.49
15338,2019-06-04,138,1.19
15341,2019-06-29,21,0.3
15385,2019-06-30,42,0.38
15396,2018-11-03,5,0.12
15711,2019-03-30,66,0.57
16326,2019-01-26,143,1.33
16338,2017-09-30,27,0.23
16421,2019-05-16,191,1.65
16458,2017-09-24,4,0.16
16580,2019-07-01,338,4.72
16595,2019-06-23,148,1.4
16821,2019-06-21,106,1.26
16974,2019-06-23,190,1.64
17037,2018-05-14,49,0.43
17092,2019-06-01,23,0.43
17693,2019-06-18,49,1.6
17747,2019-06-26,105,0.92
18127,2019-01-02,21,0.2
18152,2019-07-06,142,1.5
18198,2019-05-31,25,0.22
18590,2019-06-16,143,1.28
18728,2019-05-28,167,1.65
18764,2019-04-22,61,0.54
19159,2019-03-23,54,0.49
19169,2019-06-30,70,0.62
19282,2019-06-15,16,0.15
19319,2019-04-08,94,0.84
19601,2016-08-04,25,0.24
19812,2018-08-09,61,0.53
20299,2019-06-30,194,1.73
20300,2016-02-14,2,0.05
20611,2019-06-22,174,1.54
20724,2019-05-26,24,0.28
20734,2019-06-27,166,3.4
20755,2019-05-31,16,0.2
20853,2019-05-21,21,0.3
20913,2018-07-22,168,1.57
21293,2019-06-18,118,1.05
21456,2019-07-07,81,0.71
21644,2018-10-09,1,0.11
21794,2019-05-01,30,0.27
22911,2018-10-28,139,1.23
22918,2019-01-03,11,0.87
23135,2019-06-24,233,2.09
23501,2012-11-01,68,0.6
23686,2019-05-18,46,0.55
24143,2019-05-29,335,3.02
24285,2018-11-02,88,0.79
25235,2019-06-28,162,1.46
25406,2018-05-26,29,0.4
25696,2019-06-23,170,1.61
26012,2017-03-17,19,0.2
26362,2019-06-16,334,3.0
26520,2019-06-02,19,0.2
26559,2017-12-11,12,0.13
26785,2018-12-30,467,4.22
26933,2017-08-09,7,0.06
26954,2015-12-02,38,0.38
26969,2019-06-23,324,3.01
27006,2019-04-27,27,0.27
27385,2019-06-07,115,1.05
27531,2019-05-20,354,3.2
27644,2019-07-01,195,2.03
27659,2018-12-30,16,0.24
27759,2019-06-26,13,0.12
27883,2011-12-10,25,0.23
28321,2018-10-05,9,0.08
28396,2011-09-18,9,0.08
28907,2017-08-15,21,0.19
29012,2017-08-17,36,0.33
29013,2019-05-14,63,0.58
29455,2019-06-20,155,1.42
29628,2019-07-03,260,2.35
29683,2019-06-25,73,0.66
30031,2019-05-20,193,1.86
30927,2019-06-14,32,0.29
31130,2019-05-26,50,0.45
31555,2019-07-01,26,0.25
31902,2019-01-01,2,0.02
31994,2019-06-24,426,3.89
32023,2019-06-23,227,2.09
32037,2019-07-01,84,0.77
32100,2017-07-30,3,0.03
32289,2018-06-11,10,0.1
32331,2016-04-24,4,0.04
